country,2016,2017,2018,2019,2020,2021,2022
Netherlands,52288.4150841353,55088.6338006744,57826.6284976675,60208.4221704236,59822.954267638,63369.0273797153,69577.4045796776
New Zealand,39933.5744436033,42204.7457412663,42507.4288120852,45852.4230202271,45554.9329391839,48443.8730095024,51966.8625777626
Norway,59280.1992028829,64589.5559196863,70253.8463693384,69916.376832311,65130.1721871608,81866.7951850507,114898.759885569
Oman,33800.292052506,34218.3881261022,35034.5858610716,35248.207400256,34952.163477917,37842.8397570061,41724.3387962114
Panama,28918.9881355207,31638.1519150957,33034.7513811344,34178.9238038233,28096.6123067304,33563.6606097271,39279.6753765989
Peru,11933.6003263784,12442.7464624852,13001.4612484879,13275.2815672205,11813.9884362791,13830.5702579441,15047.5183272037
Philippines,7614.7731934884,8001.75648006143,8566.84956037032,9102.18923771675,8208.66938616279,8933.13376643678,10133.1958943127
Poland,28165.8365529133,29958.1207092074,32027.6027335558,34976.0444451626,35315.7172595773,38134.8333890046,43268.5437126032
Portugal,31607.7542431733,33044.7167387479,34928.5435337746,37299.287767416,34955.7054882649,36638.0189705342,41451.6148656947
Qatar,84998.4679248948,92177.595943793,93660.4072943196,94693.0772617287,94005.3583478977,102469.96757393,114648.031550383
Romania,23904.7038569418,26943.3477378323,29568.1868109284,33066.609506419,33336.1810967036,36277.324202054,41887.9219020734
Russian Federation,24128.0859375,25926.443359375,28821.26171875,30067.740234375,30011.57421875,34043.3046875,36484.6796875
Saudi Arabia,45602.6039820703,47551.8595195922,48861.18780002,49018.9098990996,47278.6930165073,51406.9763670895,59065.0046408666
Serbia,15858.0108189497,16611.047931719,17717.991133966,19404.9284447447,19557.5763659048,21647.329314934,23911.2012200009
Singapore,89495.0154493688,95334.1455686864,100642.752176026,102630.933142278,100226.36846454,118887.822065854,127564.556573776
Slovakia,29737.5708042482,30142.3674521189,31369.7988265901,33453.2927620977,32922.0747645603,34528.6596259315,37459.4738440688
Slovenia,33936.0440637175,36507.5530416531,38971.8241162221,42088.7310657452,40871.8252600524,43974.217350566,50031.6561840507
South Africa,13696.1635674374,13950.4534760766,14326.6502600948,14439.6941247491,13533.776252019,14689.1537493425,15904.848362637
Spain,37305.6291510563,39550.1890761123,40716.6807627631,43108.7687037933,37988.0295324103,40662.0098784744,45825.1956330087
Sri Lanka,12921.0549691984,13544.5189855638,14083.686385958,14217.4686566719,13664.2266555376,14621.5163394895,14405.4159547053
Sweden,50430.2528196052,51947.9542478244,53521.6306428288,56404.3002044523,56140.5523953504,60126.8165037418,64578.3963325427
Switzerland,67350.7518747757,68193.5054944094,70688.8187491194,72668.747107339,70810.8206896136,75979.7662211492,83598.453356565
Thailand,16231.25449294,17008.0384242563,18093.8197834427,18760.4124030103,17810.2507528433,18855.0232726769,20671.6849201656
Tunisia,10634.5016243613,10874.9468863561,11312.2392886923,11585.1521758762,10602.5212739111,11471.4570183611,12489.7180681742
Turkey,26122.11330064,27582.8323486902,27802.5477784358,27708.4307949115,27724.3886169903,30452.0967157576,37273.6997606048
Ukraine,11148.1962890625,11860.560546875,12633.513671875,13348.0283203125,13102.7958984375,14289.0400390625,12671.2392578125
United Arab Emirates,68853.8197724475,71182.3707169574,73270.6715815328,74826.5184156446,71458.6385220728,76948.3274962852,87729.1912638061
United Kingdom,44255.1120681259,46104.0553969908,47202.1996061213,49288.6931120351,45872.0272893147,50056.2662910326,54602.544380158
United States,57866.7449341091,59907.7542608847,62823.3094381973,65120.3946628653,63528.6343027509,70219.472454115,76398.5917422057
Uruguay,22618.6917760103,23384.7401885795,23950.3933285085,24551.7461680548,23309.7865230202,25663.4106069348,28841.9857002361
Uzbekistan,6796.90489209483,6840.70986001705,7289.32950089415,7717.74411733687,7822.6619584532,8607.52745042359,9532.51186508938
Viet Nam,8277.68412933015,9050.68853386204,9867.66788092648,10686.8040546891,11036.0005278922,11727.7957329063,13456.5514254011
Zimbabwe,2724.45274642037,2331.78083283086,2457.3098590523,2296.84542930309,2101.80459679453,2333.97363177486,2530.64598671745
